volume,mass,length,shape,color,rough,light
168,152,151,REC,R,1,0
335,142,180,TRI,R,1,0
340,101,182,SQUA,Y,0,0
364,77,192,REC,R,1,0
141,104,169,SQUA,Y,1,0
284,90,185,REC,R,0,0
333,54,199,TRI,Y,0,0
490,158,150,SQUA,R,0,0
466,199,182,SQUA,R,0,0
355,106,187,REC,B,0,0
447,98,194,SQUA,R,1,0
283,103,173,REC,R,0,0
294,86,172,REC,G,0,0
486,83,196,TRI,B,1,0
218,63,163,TRI,G,1,0
223,57,193,TRI,R,1,0
402,156,187,REC,B,1,0
237,161,157,TRI,Y,1,0
426,187,167,REC,Y,1,0
292,142,178,TRI,R,0,0
303,114,184,REC,B,1,0
397,107,157,REC,Y,1,0
154,196,154,REC,B,1,0
137,121,158,REC,Y,0,0
229,94,152,TRI,Y,0,0
281,82,192,REC,B,1,0
307,64,159,REC,R,0,0
111,55,198,SQUA,G,0,0
104,53,164,REC,R,0,0
349,103,170,SQUA,Y,1,0
296,150,168,REC,Y,1,0
368,161,151,TRI,R,0,0
458,197,182,REC,Y,0,0
478,108,157,TRI,R,0,0
405,198,174,TRI,B,1,0
451,160,154,TRI,Y,0,0
469,54,168,REC,B,0,0
455,153,156,TRI,G,0,0
420,106,193,SQUA,B,1,0
434,83,198,SQUA,B,0,0
189,71,172,TRI,B,0,0
372,180,152,SQUA,R,0,0
311,139,197,REC,G,0,0
301,176,157,TRI,B,1,0
464,113,190,REC,R,0,0
228,165,152,REC,Y,0,0
424,52,192,REC,R,1,0
375,52,175,REC,Y,0,0
283,90,198,REC,Y,1,0
296,124,199,SQUA,B,1,0
122,54,175,REC,Y,1,0
495,62,161,SQUA,G,0,0
269,77,183,SQUA,Y,1,0
319,129,182,SQUA,G,1,0
316,81,159,TRI,B,0,0
282,52,169,REC,R,0,0
287,52,196,SQUA,R,0,0
398,72,170,REC,Y,1,0
370,144,170,TRI,R,1,0
266,86,152,REC,Y,1,0
347,146,200,REC,Y,1,0
288,79,170,TRI,B,0,0
238,95,158,TRI,G,0,0
499,139,166,TRI,G,0,0
321,62,153,REC,Y,0,0
358,81,170,REC,G,0,0
406,82,187,REC,B,1,0
329,149,185,REC,R,0,0
312,59,160,SQUA,G,1,0
300,106,183,TRI,B,0,0
210,182,163,REC,G,0,0
380,79,165,TRI,R,0,0
208,81,156,REC,G,0,0
246,103,194,REC,G,1,0
378,115,190,REC,R,0,0
275,79,171,REC,G,0,0
389,187,184,REC,Y,1,0
411,148,164,REC,Y,0,0
272,164,160,TRI,G,1,0
495,64,191,SQUA,Y,1,0
228,127,158,SQUA,R,1,0
115,176,152,REC,R,1,0
412,65,196,REC,G,1,0
494,82,181,TRI,B,1,0
489,110,164,SQUA,G,0,0
358,63,150,SQUA,G,1,0
469,127,156,TRI,B,1,0
183,54,179,SQUA,R,1,0
284,143,153,SQUA,B,0,0
360,57,154,TRI,Y,1,0
434,128,153,SQUA,Y,0,0
416,193,195,TRI,G,1,0
286,161,155,SQUA,B,0,0
458,191,193,REC,R,1,0
285,119,160,REC,B,0,0
